Department,EducationField,JobRole,BusinessTravel,MaritalStatus,Employee Source,HourlyRate,DailyRate,MonthlyRate,MonthlyIncome,StockOptionLevel,Age,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Education,JobLevel,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,TrainingTimesLastYear,Gender,DistanceFromHome,Company Website,LoyaltyFactor,TotalEarnInCompany,JobMatchFactor,SatisfactionCounts,Attrition
Human Resources,Life Sciences,Research Scientist,Non-Travel,Married,Seek,37,1420,24907,5130,1,59,16,14,8,6,9,4,2,2,0,23,4,1,2,4,2,2,3,0,2,0,0.875,969570,0,9,0
Research & Development,Life Sciences,Research Scientist,Travel_Frequently,Married,Seek,61,279,24907,5130,1,49,10,10,7,1,7,1,2,1,0,23,3,3,2,4,3,2,3,0,8,0,1,711018,0,12,0
Research & Development,Life Sciences,Manufacturing Director,Travel_Frequently,Single,Indeed,95,279,22656,6499,0,49,6,6,5,0,3,1,2,1,0,13,3,2,2,3,3,2,3,0,8,0,1,545916,0,10,0
Research & Development,Life Sciences,Manufacturing Director,Travel_Frequently,Divorced,Referral,87,279,26314,4810,1,49,19,10,7,0,8,1,2,2,0,14,3,3,3,3,2,3,5,1,8,0,0.5263,666666,0,11,0
Human Resources,Human Resources,Research Scientist,Non-Travel,Married,Seek,37,1420,24907,5130,1,59,10,10,7,1,7,4,2,1,0,23,3,1,2,4,3,2,3,0,2,0,1,711018,1,10,0
Human Resources,Life Sciences,Research Scientist,Non-Travel,Married,Seek,37,1420,24907,5130,1,59,10,10,7,1,7,4,2,2,0,23,3,1,2,4,3,2,3,0,2,0,1,711018,0,10,0
Research & Development,Marketing,Research Scientist,Travel_Frequently,Married,Seek,61,279,24907,5130,1,49,10,10,7,1,7,1,2,3,0,23,3,3,2,4,3,2,3,0,8,0,1,711018,1,12,0
Research & Development,Life Sciences,Research Scientist,Travel_Frequently,Married,Seek,61,279,24907,5130,1,49,10,10,7,1,7,1,2,1,0,23,4,3,2,4,3,2,3,0,8,0,1,711018,0,12,0
Research & Development,Marketing,Research Scientist,Travel_Frequently,Married,Seek,61,279,24907,5130,1,49,10,10,7,1,7,1,2,3,0,23,4,3,2,4,3,2,3,0,8,0,1,711018,1,12,0
Human Resources,Human Resources,Research Scientist,Non-Travel,Married,Seek,37,1420,24907,5130,1,59,10,10,7,1,7,4,2,1,0,23,4,1,2,4,3,2,3,0,2,0,1,711018,1,10,0
Human Resources,Life Sciences,Research Scientist,Non-Travel,Married,Seek,37,1420,24907,5130,1,59,16,14,8,6,9,4,2,2,0,23,4,1,2,4,2,2,3,0,2,0,0.875,969570,0,9,0
Human Resources,Human Resources,Laboratory Technician,Non-Travel,Single,Seek,37,142,2396,2090,0,54,7,0,0,0,0,3,1,6,1,15,3,1,3,2,3,2,3,0,26,0,0,25080,1,9,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Single,Seek,92,1373,2396,2090,0,37,7,0,0,0,0,2,1,1,1,15,3,4,3,2,3,2,3,0,2,0,0,25080,0,12,1
Human Resources,Technical Degree,Laboratory Technician,Non-Travel,Single,Seek,37,142,2396,2090,0,54,7,0,0,0,0,3,1,1,1,15,3,1,3,2,3,2,3,0,26,0,0,25080,0,9,0
Research & Development,Other,Laboratory Technician,Travel_Rarely,Single,Seek,92,1373,2396,2090,0,37,7,0,0,0,0,2,1,6,1,15,3,4,3,2,3,2,3,0,2,0,0,25080,0,12,1
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Single,Seek,92,1373,2396,2090,0,37,7,0,0,0,0,2,1,1,1,15,3,4,3,2,3,2,3,0,2,0,0,25080,0,12,1
Human Resources,Human Resources,Laboratory Technician,Non-Travel,Single,Seek,37,142,2396,2090,0,54,7,0,0,0,0,3,1,6,1,15,3,1,3,2,3,2,3,0,26,0,0,25080,1,9,0
Research & Development,Other,Laboratory Technician,Travel_Rarely,Single,Seek,92,1373,2396,2090,0,37,7,0,0,0,0,2,1,6,1,15,3,4,3,2,3,2,3,0,2,0,0,25080,0,12,1
Research & Development,Other,Research Scientist,Travel_Rarely,Divorced,Company Website,59,1373,18787,9724,1,37,25,1,0,0,0,2,3,2,0,17,3,2,1,3,3,3,2,0,2,1,0.04,245045,0,9,1
Research & Development,Other,Healthcare Representative,Travel_Rarely,Married,Company Website,88,1373,4386,4523,3,37,7,6,5,0,4,2,2,0,0,11,4,4,4,4,4,2,4,1,2,1,0.8571,436922,0,16,1
Human Resources,Human Resources,Laboratory Technician,Non-Travel,Single,Seek,37,142,2396,2090,0,54,7,0,0,0,0,3,1,6,1,15,3,1,3,2,3,2,3,0,26,0,0,25080,1,9,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Single,Seek,92,1373,2396,2090,0,37,7,0,0,0,0,2,1,1,1,15,3,4,3,2,3,2,3,0,2,0,0,25080,0,12,1
Human Resources,Technical Degree,Laboratory Technician,Non-Travel,Single,Seek,37,142,2396,2090,0,54,7,0,0,0,0,3,1,1,1,15,3,1,3,2,3,2,3,0,26,0,0,25080,0,9,0
Research & Development,Other,Laboratory Technician,Travel_Rarely,Single,Seek,92,1373,2396,2090,0,37,7,0,0,0,0,2,1,6,1,15,3,4,3,2,3,2,3,0,2,0,0,25080,0,12,1
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Single,Seek,92,1373,2396,2090,0,37,7,0,0,0,0,2,1,1,1,15,3,4,3,2,3,2,3,0,2,0,0,25080,0,12,1
Human Resources,Human Resources,Laboratory Technician,Non-Travel,Single,Seek,37,142,2396,2090,0,54,7,0,0,0,0,3,1,6,1,15,3,1,3,2,3,2,3,0,26,0,0,25080,1,9,0
Research & Development,Life Sciences,Research Scientist,Travel_Frequently,Married,Seek,56,1392,23159,2909,0,33,8,8,7,3,0,4,1,1,1,11,3,4,3,3,3,3,3,1,3,0,1,314172,0,13,0
Human Resources,Human Resources,Research Scientist,Travel_Rarely,Married,Seek,37,1240,23159,2909,0,30,8,8,7,3,0,3,1,1,1,11,3,1,3,3,3,3,3,1,9,0,1,314172,1,10,0
Research & Development,Life Sciences,Research Scientist,Travel_Frequently,Married,Seek,56,1392,23159,2909,0,33,8,8,7,3,0,4,1,2,1,11,3,4,3,3,3,3,3,1,3,0,1,314172,0,13,0
Human Resources,Medical,Research Scientist,Travel_Rarely,Married,Seek,37,1240,23159,2909,0,30,8,8,7,3,0,3,1,3,1,11,4,1,3,3,3,3,3,1,9,0,1,314172,0,10,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Referral,94,1102,19479,5993,0,41,8,6,4,0,5,2,2,8,1,11,3,2,4,1,1,3,0,1,1,0,0.75,503412,1,8,1
Human Resources,Human Resources,Sales Executive,Travel_Rarely,Single,Referral,37,807,19479,5993,0,37,8,6,4,0,5,4,2,8,1,11,4,1,4,1,1,3,0,1,6,0,0.75,503412,1,7,1
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Referral,94,1102,19479,5993,0,41,8,6,4,0,5,2,2,4,1,11,3,2,4,1,1,3,0,1,1,0,0.75,503412,1,8,1
Human Resources,Marketing,Sales Executive,Travel_Rarely,Single,Referral,37,807,19479,5993,0,37,8,6,4,0,5,4,2,5,1,11,3,1,4,1,1,3,0,1,6,0,0.75,503412,0,7,1
Human Resources,Human Resources,Sales Executive,Travel_Rarely,Single,Referral,37,807,19479,5993,0,37,8,6,4,0,5,4,2,8,1,11,3,1,4,1,1,3,0,1,6,0,0.75,503412,1,7,1
Human Resources,Marketing,Sales Executive,Travel_Rarely,Single,Referral,37,807,19479,5993,0,37,8,6,4,0,5,4,2,5,1,11,3,1,4,1,1,3,0,1,6,0,0.75,503412,0,7,1
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Referral,94,1102,19479,5993,0,41,8,6,4,0,5,2,2,8,1,11,3,2,4,1,1,3,0,1,1,0,0.75,503412,1,8,1
Human Resources,Human Resources,Research Scientist,Travel_Rarely,Married,Seek,37,1240,23159,2909,0,30,8,8,7,3,0,3,1,1,1,11,3,1,3,3,3,3,3,1,9,0,1,314172,1,10,0
Human Resources,Medical,Research Scientist,Travel_Rarely,Married,Company Website,37,1240,23159,2909,0,30,8,8,7,3,0,3,1,3,1,11,3,1,3,3,3,3,3,1,9,1,1,314172,0,10,0
Research & Development,Life Sciences,Research Scientist,Travel_Frequently,Married,Seek,56,1392,23159,2909,0,33,8,8,7,3,0,4,1,1,1,11,3,4,3,3,3,3,3,1,3,0,1,314172,0,13,0
Research & Development,Life Sciences,Research Scientist,Travel_Frequently,Married,Seek,56,1392,23159,2909,0,33,8,8,7,3,0,4,1,2,1,11,3,4,3,3,3,3,3,1,3,0,1,314172,0,13,0
Research & Development,Life Sciences,Research Scientist,Travel_Frequently,Married,Seek,56,1392,23159,2909,0,33,8,8,7,3,0,4,1,1,1,11,3,4,3,3,3,3,3,1,3,0,1,314172,0,13,0
Research & Development,Life Sciences,Research Scientist,Travel_Frequently,Married,Company Website,79,1392,5868,2194,1,33,5,3,2,1,2,4,1,4,0,13,3,2,1,4,2,3,2,0,3,1,0.6,110578,0,9,0
Research & Development,Life Sciences,Sales Representative,Travel_Frequently,Single,Company Website,62,1392,21972,3202,0,33,6,5,3,1,4,4,1,1,1,16,4,1,2,2,3,3,4,1,3,1,0.8333,230544,1,8,0
Human Resources,Human Resources,Research Scientist,Travel_Rarely,Married,Seek,37,1240,23159,2909,0,30,8,8,7,3,0,3,1,1,1,11,3,1,3,3,3,3,3,1,9,0,1,314172,1,10,0
Research & Development,Life Sciences,Research Scientist,Travel_Frequently,Married,Seek,56,1392,23159,2909,0,33,8,8,7,3,0,4,1,2,1,11,3,4,3,3,3,3,3,1,3,0,1,314172,0,13,0
Human Resources,Medical,Research Scientist,Travel_Rarely,Married,Seek,37,1240,23159,2909,0,30,8,8,7,3,0,3,1,3,1,11,4,1,3,3,3,3,3,1,9,0,1,314172,0,10,0
Human Resources,Human Resources,Research Scientist,Travel_Rarely,Married,Seek,37,1240,23159,2909,0,30,8,8,7,3,0,3,1,1,1,11,3,1,3,3,3,3,3,1,9,0,1,314172,1,10,0
Human Resources,Medical,Research Scientist,Travel_Rarely,Married,Company Website,37,1240,23159,2909,0,30,8,8,7,3,0,3,1,3,1,11,3,1,3,3,3,3,3,1,9,1,1,314172,0,10,0
Research & Development,Life Sciences,Research Scientist,Travel_Frequently,Married,Seek,56,1392,23159,2909,0,33,8,8,7,3,0,4,1,1,1,11,3,4,3,3,3,3,3,1,3,0,1,314172,0,13,0
Research & Development,Life Sciences,Research Scientist,Travel_Frequently,Married,Seek,56,1392,23159,2909,0,33,8,8,7,3,0,4,1,2,1,11,3,4,3,3,3,3,3,1,3,0,1,314172,0,13,0
Research & Development,Medical,Laboratory Technician,Travel_Rarely,Married,Seek,40,591,16632,3468,1,27,6,2,2,2,2,1,1,9,0,12,3,1,2,4,3,3,3,0,2,0,0.3333,131090,0,10,0
Human Resources,Human Resources,Laboratory Technician,Travel_Rarely,Married,Seek,37,106,16632,3468,1,31,6,2,2,2,2,3,1,9,0,12,3,1,2,4,3,3,3,0,2,0,0.3333,131090,1,10,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Married,Seek,40,591,16632,3468,1,27,6,2,2,2,2,1,1,1,0,12,4,1,2,4,3,3,3,0,2,0,0.3333,131090,0,10,0
Human Resources,Life Sciences,Laboratory Technician,Travel_Rarely,Married,Seek,37,106,16632,3468,1,31,6,2,2,2,2,3,1,1,0,12,3,1,2,4,3,3,3,0,2,0,0.3333,131090,0,10,0
Research & Development,Medical,Laboratory Technician,Travel_Rarely,Married,Indeed,40,591,16632,3468,1,27,6,2,2,2,2,1,1,9,0,12,3,1,2,4,3,3,3,0,2,0,0.3333,131090,0,10,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Married,Seek,40,591,16632,3468,1,27,6,2,2,2,2,1,1,1,0,12,3,1,2,4,3,3,3,0,2,0,0.3333,131090,0,10,0
Human Resources,Human Resources,Laboratory Technician,Travel_Rarely,Married,Seek,37,106,16632,3468,1,31,6,2,2,2,2,3,1,9,0,12,3,1,2,4,3,3,3,0,2,0,0.3333,131090,1,10,0
Human Resources,Life Sciences,Laboratory Technician,Travel_Rarely,Married,Seek,37,106,16632,3468,1,31,6,2,2,2,2,3,1,1,0,12,3,1,2,4,3,3,3,0,2,0,0.3333,131090,0,10,0
Research & Development,Medical,Laboratory Technician,Travel_Rarely,Married,Seek,40,591,16632,3468,1,27,6,2,2,2,2,1,1,9,0,12,3,1,2,4,3,3,3,0,2,0,0.3333,131090,0,10,0
Research & Development,Medical,Research Scientist,Travel_Rarely,Married,Company Website,79,591,21777,3388,1,27,2,1,0,0,0,1,1,0,1,17,3,4,3,1,2,2,0,0,2,1,0.5,85378,0,10,0
Sales,Medical,Laboratory Technician,Travel_Rarely,Married,Adzuna,40,682,16632,3468,0,58,38,37,10,1,8,4,1,0,0,13,3,1,2,3,2,3,1,0,10,0,0.9737,1581408,0,8,0
Research & Development,Medical,Sales Representative,Travel_Rarely,Divorced,Company Website,33,591,12253,2351,1,27,3,2,2,1,0,1,1,0,0,16,4,4,3,4,2,1,3,1,2,1,0.6667,88868,1,13,0
Sales,Medical,Laboratory Technician,Travel_Rarely,Married,Company Website,40,622,16632,3468,0,25,7,7,4,0,6,1,1,1,0,11,4,1,2,3,3,3,1,0,13,1,1,332928,0,9,0
Human Resources,Human Resources,Laboratory Technician,Travel_Rarely,Married,Seek,37,106,16632,3468,1,31,6,2,2,2,2,3,1,9,0,12,3,1,2,4,3,3,3,0,2,0,0.3333,131090,1,10,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Married,Seek,40,230,16632,3468,1,18,20,20,7,2,13,3,1,1,0,11,3,1,2,1,3,3,2,0,3,0,1,917633,0,7,1
Sales,Life Sciences,Laboratory Technician,Travel_Rarely,Married,GlassDoor,40,326,16632,3468,2,31,8,3,2,1,2,2,1,4,0,12,4,1,2,2,4,3,2,0,8,0,0.375,183110,0,9,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Married,Seek,40,591,16632,3468,1,27,6,2,2,2,2,1,1,1,0,12,4,1,2,4,3,3,3,0,2,0,0.3333,131090,0,10,0
Human Resources,Life Sciences,Laboratory Technician,Travel_Rarely,Married,Seek,37,106,16632,3468,1,31,6,2,2,2,2,3,1,1,0,12,3,1,2,4,3,3,3,0,2,0,0.3333,131090,0,10,0
Research & Development,Medical,Laboratory Technician,Travel_Rarely,Married,Indeed,40,591,16632,3468,1,27,6,2,2,2,2,1,1,9,0,12,3,1,2,4,3,3,3,0,2,0,0.3333,131090,0,10,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Married,Seek,40,591,16632,3468,1,27,6,2,2,2,2,1,1,1,0,12,3,1,2,4,3,3,3,0,2,0,0.3333,131090,0,10,0
Human Resources,Human Resources,Laboratory Technician,Travel_Rarely,Married,Seek,37,106,16632,3468,1,31,6,2,2,2,2,3,1,9,0,12,3,1,2,4,3,3,3,0,2,0,0.3333,131090,1,10,0
Human Resources,Life Sciences,Laboratory Technician,Travel_Rarely,Married,Seek,37,106,16632,3468,1,31,6,2,2,2,2,3,1,1,0,12,3,1,2,4,3,3,3,0,2,0,0.3333,131090,0,10,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Frequently,Single,Seek,79,1005,11864,3068,0,32,8,7,7,3,6,2,1,0,0,13,3,4,4,3,2,3,2,0,2,0,0.875,294528,0,13,0
Human Resources,Human Resources,Laboratory Technician,Travel_Frequently,Single,Seek,37,988,11864,3068,0,34,8,7,7,3,6,3,1,0,0,13,3,1,4,3,2,3,2,0,23,0,0.875,294528,1,10,1
Research & Development,Life Sciences,Laboratory Technician,Travel_Frequently,Single,Seek,79,1005,11864,3068,0,32,8,7,7,3,6,2,1,1,0,13,3,4,4,3,2,3,2,0,2,0,0.875,294528,0,13,0
Human Resources,Other,Laboratory Technician,Travel_Frequently,Single,Seek,37,988,11864,3068,0,34,8,7,7,3,6,3,1,1,0,13,3,1,4,3,2,3,2,0,23,0,0.875,294528,0,10,1
Research & Development,Life Sciences,Laboratory Technician,Travel_Frequently,Single,Seek,79,1005,11864,3068,0,32,8,7,7,3,6,2,1,0,0,13,3,4,4,3,2,3,2,0,2,0,0.875,294528,0,13,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Frequently,Single,Seek,79,1005,11864,3068,0,32,8,7,7,3,6,2,1,1,0,13,3,4,4,3,2,3,2,0,2,0,0.875,294528,0,13,0
Human Resources,Human Resources,Laboratory Technician,Travel_Frequently,Single,Seek,37,988,11864,3068,0,34,8,7,7,3,6,3,1,0,0,13,3,1,4,3,2,3,2,0,23,0,0.875,294528,1,10,1
Human Resources,Other,Laboratory Technician,Travel_Frequently,Single,Seek,37,988,11864,3068,0,34,8,7,7,3,6,3,1,1,0,13,3,1,4,3,2,3,2,0,23,0,0.875,294528,0,10,1
Research & Development,Life Sciences,Laboratory Technician,Travel_Frequently,Single,Seek,79,1005,11864,3068,0,32,8,7,7,3,6,2,1,0,0,13,3,4,4,3,2,3,2,0,2,0,0.875,294528,0,13,0
Research & Development,Life Sciences,Sales Executive,Travel_Frequently,Single,Company Website,57,1005,24668,5473,0,32,20,4,3,1,3,2,2,7,0,11,3,1,3,4,2,2,2,1,2,1,0.2,328380,1,10,0
Research & Development,Medical,Laboratory Technician,Non-Travel,Single,Seek,79,489,11864,3068,1,44,17,3,2,1,2,3,1,4,0,12,4,4,4,3,4,3,3,0,23,0,0.1765,154627,0,15,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Single,Seek,79,1117,11864,3068,0,28,5,5,3,0,2,2,1,1,0,21,3,4,4,4,3,3,3,0,8,0,1,220896,0,15,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Frequently,Married,Adzuna,42,1005,12106,1702,1,32,1,1,0,0,0,2,1,1,1,23,3,4,4,3,3,3,3,0,2,0,1,42890,0,14,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Frequently,Single,Company Website,79,1287,11864,3068,1,24,6,6,3,1,2,3,1,1,1,16,4,4,4,4,3,3,4,0,7,1,1,270598,0,15,1
Human Resources,Human Resources,Laboratory Technician,Travel_Frequently,Single,Seek,37,988,11864,3068,0,34,8,7,7,3,6,3,1,0,0,13,3,1,4,3,2,3,2,0,23,0,0.875,294528,1,10,1
Research & Development,Life Sciences,Laboratory Technician,Travel_Frequently,Single,Jora,79,566,11864,3068,2,36,10,10,8,0,6,4,1,1,0,13,3,4,4,1,3,3,3,0,18,0,1,445474,0,12,0
Research & Development,Life Sciences,Laboratory Technician,Non-Travel,Single,Company Website,79,592,11864,3068,1,39,10,6,1,0,5,3,1,4,0,19,3,4,4,3,3,3,2,0,2,1,0.6,270598,0,14,1
Research & Development,Life Sciences,Laboratory Technician,Travel_Frequently,Single,Seek,79,1005,11864,3068,0,32,8,7,7,3,6,2,1,1,0,13,3,4,4,3,2,3,2,0,2,0,0.875,294528,0,13,0
Human Resources,Other,Laboratory Technician,Travel_Frequently,Single,Seek,37,988,11864,3068,0,34,8,7,7,3,6,3,1,1,0,13,3,1,4,3,2,3,2,0,23,0,0.875,294528,0,10,1
Research & Development,Life Sciences,Laboratory Technician,Travel_Frequently,Single,Seek,79,1005,11864,3068,0,32,8,7,7,3,6,2,1,0,0,13,3,4,4,3,2,3,2,0,2,0,0.875,294528,0,13,0
Human Resources,Human Resources,Laboratory Technician,Travel_Frequently,Single,Seek,37,988,11864,3068,0,34,8,7,7,3,6,3,1,0,0,13,3,1,4,3,2,3,2,0,23,0,0.875,294528,1,10,1
Human Resources,Other,Laboratory Technician,Travel_Frequently,Single,Seek,37,988,11864,3068,0,34,8,7,7,3,6,3,1,1,0,13,3,1,4,3,2,3,2,0,23,0,0.875,294528,0,10,1
Research & Development,Medical,Laboratory Technician,Travel_Rarely,Married,Seek,81,1324,9964,2670,3,59,12,1,0,0,0,3,1,4,1,20,3,3,1,1,2,4,3,1,3,0,0.0833,73692,0,7,0
Human Resources,Human Resources,Laboratory Technician,Travel_Rarely,Married,Seek,37,427,9964,2670,3,41,12,1,0,0,0,4,1,4,1,20,3,1,1,1,2,4,3,1,10,0,0.0833,73692,1,5,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Married,Seek,81,1324,9964,2670,3,59,12,1,0,0,0,3,1,1,1,20,3,3,1,1,2,4,3,1,3,0,0.0833,73692,0,7,0
Human Resources,Medical,Laboratory Technician,Travel_Rarely,Married,Seek,37,427,9964,2670,3,41,12,1,0,0,0,4,1,1,1,20,3,1,1,1,2,4,3,1,10,0,0.0833,73692,0,5,0
Human Resources,Human Resources,Laboratory Technician,Travel_Rarely,Married,Seek,37,427,9964,2670,3,41,12,1,0,0,0,4,1,4,1,20,4,1,1,1,2,4,3,1,10,0,0.0833,73692,1,5,0
Human Resources,Medical,Laboratory Technician,Travel_Rarely,Married,Seek,37,427,9964,2670,3,41,12,1,0,0,0,4,1,1,1,20,4,1,1,1,2,4,3,1,10,0,0.0833,73692,0,5,0
Research & Development,Medical,Laboratory Technician,Travel_Rarely,Married,Seek,81,1324,9964,2670,3,59,12,1,0,0,0,3,1,4,1,20,4,3,1,1,2,4,3,1,3,0,0.0833,73692,0,7,0
Research & Development,Life Sciences,Manufacturing Director,Travel_Rarely,Married,Seek,81,1324,13983,6132,0,59,10,0,0,0,0,3,1,1,0,17,3,3,3,3,3,4,3,1,3,0,0,73584,0,12,0
Research & Development,Medical,Laboratory Technician,Travel_Rarely,Married,Seek,81,1324,9964,2670,3,59,12,1,0,0,0,3,1,4,1,20,3,3,1,1,2,4,3,1,3,0,0.0833,73692,0,7,0
Research & Development,Medical,Research Scientist,Travel_Rarely,Married,Jora,76,1324,4956,2703,1,59,6,5,4,0,4,3,1,0,0,23,3,3,2,4,3,3,3,0,3,0,0.8333,204347,0,12,0
